Occupation,Hierarchy Levels,variable,value
 First-line supervisors of building and grounds cleaning and maintenance workers ,2,Contact with objects and equipment,14
" First-line supervisors of landscaping, lawn service, and groundskeeping workers ",3,Contact with objects and equipment,14
 Industrial truck and tractor operators ,2,Contact with objects and equipment,14
 Industrial truck and tractor operators ,3,Contact with objects and equipment,14
 Media and communication equipment workers ,1,Total fatal injuries (number),13
 Registered nurses ,2,Total fatal injuries (number),13
 Registered nurses ,3,Total fatal injuries (number),13
 Fast food and counter workers ,2,Total fatal injuries (number),13
" Drywall installers, ceiling tile installers, and tapers ",2,Total fatal injuries (number),13
 Machinists ,2,Total fatal injuries (number),13
 Machinists ,3,Total fatal injuries (number),13
 Woodworkers ,1,Total fatal injuries (number),13
 Miscellaneous motor vehicle operators ,2,Total fatal injuries (number),13
 Sailors and marine oilers ,2,Total fatal injuries (number),13
 Sailors and marine oilers ,3,Total fatal injuries (number),13
 Other transportation workers ,1,Total fatal injuries (number),13
" Dredge, excavating, and loading machine operators ",2,Total fatal injuries (number),13
" Farmworkers, farm, ranch, and aquacultural animals ",3,Violence and other injuries by persons or animals,13
 Supervisors of construction and extraction workers ,1,Violence and other injuries by persons or animals,13
 First-line supervisors of construction trades and extraction workers ,2,Violence and other injuries by persons or animals,13
 First-line supervisors of construction trades and extraction workers ,3,Violence and other injuries by persons or animals,13
 Business operations specialists ,1,Transportation incidents,13
 Fire fighting and prevention workers ,1,Transportation incidents,13
 Building cleaning and pest control workers ,1,Transportation incidents,13
" Electrical and electronic equipment mechanics, installers, and repairers ",1,Transportation incidents,13
 Agricultural workers ,1,"Falls, slips, trips",13
 Metal workers and plastic workers ,1,"Falls, slips, trips",13
 Personal care and service occupations ,0,Exposure to harmful substances or environments,13
 Carpenters ,2,Contact with objects and equipment,13
 Carpenters ,3,Contact with objects and equipment,13
" Industrial machinery installation, repair, and maintenance workers ",2,Contact with objects and equipment,13
 Computer and mathematical occupations ,0,Total fatal injuries (number),12
 Computer occupations ,1,Total fatal injuries (number),12
" Preschool, primary, secondary, and special education school teachers ",1,Total fatal injuries (number),12
 Home health aides ,3,Total fatal injuries (number),12
 Nursing assistants ,3,Total fatal injuries (number),12
 Animal care and service workers ,1,Total fatal injuries (number),12
 Postal service mail carriers ,3,Total fatal injuries (number),12
 Drywall and ceiling tile installers ,3,Total fatal injuries (number),12
 Excavating and loading machine and dragline operators ,3,Total fatal injuries (number),12
 Supervisors of food preparation and serving workers ,1,Violence and other injuries by persons or animals,12
 First-line supervisors of food preparation and serving workers ,2,Violence and other injuries by persons or animals,12
 First-line supervisors of food preparation and serving workers ,3,Violence and other injuries by persons or animals,12
 Engineers ,1,Transportation incidents,12
 Firefighters ,2,Transportation incidents,12
 Firefighters ,3,Transportation incidents,12
 Crossing guards ,3,Transportation incidents,12
 Highway maintenance workers ,2,Transportation incidents,12
 Highway maintenance workers ,3,Transportation incidents,12
 Bus and truck mechanics and diesel engine specialists ,2,Transportation incidents,12
 Bus and truck mechanics and diesel engine specialists ,3,Transportation incidents,12
 Heavy vehicle and mobile equipment service technicians and mechanics ,2,Transportation incidents,12
" Maintenance and repair workers, general ",2,Transportation incidents,12
" Maintenance and repair workers, general ",3,Transportation incidents,12
 Miscellaneous motor vehicle operators ,2,Transportation incidents,12
 Rail transportation workers ,1,Transportation incidents,12
 Other management occupations ,1,Fires and explosions,12
 Protective service occupations ,0,Fires and explosions,12
 Miscellaneous agricultural workers ,2,"Falls, slips, trips",12
 Retail sales workers ,1,Exposure to harmful substances or environments,12
 Heavy vehicle and mobile equipment service technicians and mechanics ,2,Contact with objects and equipment,12
 Operations specialties managers ,1,Total fatal injuries (number),11
 Lodging managers ,2,Total fatal injuries (number),11
 Lodging managers ,3,Total fatal injuries (number),11
" Lawyers, judges, and related workers ",1,Total fatal injuries (number),11
 Designers ,2,Total fatal injuries (number),11
 First-line supervisors of law enforcement workers ,2,Total fatal injuries (number),11
 First-line supervisors of police and detectives ,3,Total fatal injuries (number),11
" Bailiffs, correctional officers, and jailers ",2,Total fatal injuries (number),11
 Correctional officers and jailers ,3,Total fatal injuries (number),11
" Combined food preparation and serving workers, including fast food ",3,Total fatal injuries (number),11
 First-line supervisors of housekeeping and janitorial workers ,3,Total fatal injuries (number),11
" Sales representatives, wholesale and manufacturing ",1,Total fatal injuries (number),11
" Sales representatives, wholesale and manufacturing ",2,Total fatal injuries (number),11
" Cement masons, concrete finishers, and terrazzo workers ",2,Total fatal injuries (number),11
 Cement masons and concrete finishers ,3,Total fatal injuries (number),11
" Paving, surfacing, and tamping equipment operators ",3,Total fatal injuries (number),11
" Helpers, construction trades ",1,Total fatal injuries (number),11
" Helpers, construction trades ",2,Total fatal injuries (number),11
" First-line supervisors of helpers, laborers, and material movers, hand ",2,Total fatal injuries (number),11
" First-line supervisors of helpers, laborers, and material movers, hand ",3,Total fatal injuries (number),11
 First-line supervisors of transportation and material-moving machine and vehicle operators ,2,Total fatal injuries (number),11
 First-line supervisors of transportation and material-moving machine and vehicle operators ,3,Total fatal injuries (number),11
 Retail salespersons ,2,Violence and other injuries by persons or animals,11
 Retail salespersons ,3,Violence and other injuries by persons or animals,11
" Material recording, scheduling, dispatching, and distributing workers ",1,Violence and other injuries by persons or animals,11
" Laborers and material movers, hand ",2,Violence and other injuries by persons or animals,11
 Community and social services occupations ,0,Transportation incidents,11
 Emergency medical technicians and paramedics ,2,Transportation incidents,11
 Emergency medical technicians and paramedics ,3,Transportation incidents,11
 Security guards and gaming surveillance officers ,2,Transportation incidents,11
 Security guards ,3,Transportation incidents,11
 Retail sales workers ,1,Transportation incidents,11
 Carpenters ,2,Transportation incidents,11
 Carpenters ,3,Transportation incidents,11
" Heating, air conditioning, and refrigeration mechanics and installers ",2,Transportation incidents,11
" Heating, air conditioning, and refrigeration mechanics and installers ",3,Transportation incidents,11
 Electrical power-line installers and repairers ,3,Transportation incidents,11
 Bus drivers ,2,Transportation incidents,11
 Transportation and material moving occupations ,0,Fires and explosions,11
 Other protective service workers ,1,"Falls, slips, trips",11
" Brickmasons, blockmasons, and stonemasons ",2,"Falls, slips, trips",11
 Brickmasons and blockmasons ,3,"Falls, slips, trips",11
" Maintenance and repair workers, general ",2,"Falls, slips, trips",11
